운동 동작,대분류,난이도,부위,도구,목적,설명,영상
갈비뼈 모으기,근력 /능동,매우 쉬움,복부,매트,근력,무릎을 굽히고 누워 양손을 갈비뼈 위에 올려주세요. 코로 숨을 들이쉬어 손이 있는 곳이 부풀게 했다가 숨을 내쉬면서 손이 내려가는 것을 느껴주세요. 갈비뼈가 내려가면서 가운데로 모이도록 해주세요. 손으로 누르지 말고 호흡을 통해 움직여주셔야 합니다. 허리에 통증이 생기지 않아야 합니다. 갈비뼈를 모은 자세를 편한 호흡과 함께 일정 시간 유지 후 힘을 풀어 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1364/MG/0d5524d1f0adccead99b7440a1c5d4d9.mp4
갈비뼈 모으기 2,근력 /능동,매우 쉬움,복부,매트,근력,무릎을 굽히고 누워 양손을 갈비뼈 위에 올려주세요. 코로 숨을 들이쉬어 손이 있는 곳이 부풀게 했다가 숨을 내쉬면서 손이 내려가는 것을 느껴주세요. 갈비뼈가 내려가면서 가운데로 모이도록 해주세요. 손으로 누르지 말고 호흡을 통해 움직여주셔야 합니다. 허리에 통증이 생기지 않아야 합니다. 일정 횟수 반복 후 힘을 풀어 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1365/MG/1a5cacf4d79f531ee41dda0c3449e766.mp4
개구리 자세,관절 움직임 /닫힌사슬운동 /능동,매우 쉬움,고관절&골반,매트,관절 움직임,무릎을 굽힌 상태에서 양 다리를 벌려줍니다. 양 팔은 몸 앞쪽 바닥에 놓고 엉덩이는 발쪽으로 몸은 바닥으로 가능한 범위까지 내려주세요. 허벅지 안쪽이 스트레칭 되는 것이 느껴지면 그 자세를 유지합니다. 일정 시간 유지 한 후 다리를 모으고 시작 자세로 돌아와 동작을 마무리합니다.,https://resources.mora.kr/static/exercise/media/75/MG/3d2dbd2bbad2eee06ff9a3dc98af01ff.mp4
거꾸로 플랭크,근력 /닫힌사슬운동 /능동,보통,고관절&골반|복부|전신|허리|어깨,매트,근력,"천장을 향해 누워 양쪽 아래팔로 몸을 지지하고 무릎을 굽혀 놓은 자세에서 엉덩이를 들어주세요. 허벅지 뒷부분과 엉덩이, 등, 어깨 전체적으로 힘이 들어올 것입니다. 코어에 힘을 주어 허리가 꺾이지 않도록 하고 발바닥으로 바닥을 밀면서 골반을 천장 쪽으로 올려 엉덩이에 힘이 더 들어오는 것을 느껴주세요. 관절에 통증이 생기지 않도록 주의해 주세요. 일정 시간 유지 후 시작자세로 돌아오세요.",https://resources.mora.kr/static/exercise/media/1505/MG/339602684db8220507b950e0392aa010.mp4
거꾸로 플랭크 2,근력 /닫힌사슬운동 /능동,어려움,고관절&골반|복부|전신|허리|어깨,매트,근력,"앉은 자세에서 양손으로 바닥을 짚어 몸을 지지하고 무릎을 굽혀 놓은 자세에서 엉덩이를 들어주세요. 허벅지 뒷부분과 엉덩이, 등, 어깨 전체적으로 힘이 들어올 것입니다. 코어에 힘을 주어 허리가 꺾이지 않도록 하고 발바닥으로 바닥을 밀면서 골반을 천장 쪽으로 올려 엉덩이에 힘이 더 들어오는 것을 느껴주세요. 관절에 통증이 생기지 않도록 주의해 주세요. 일정 시간 유지 후 시작자세로 돌아오세요.",https://resources.mora.kr/static/exercise/media/1503/MG/8f44327774bc9ac7f7e8caa1bdc2cb3c.mp4
거꾸로 플랭크 엉덩이 들기,근력 /닫힌사슬운동 /능동,보통,고관절&골반|복부|전신|허리|어깨,매트,근력,"천장을 향해 누워 양쪽 아래팔로 몸을 지지하고 무릎을 굽혀 놓은 자세에서 엉덩이를 들었다 내려주세요. 허벅지 뒷부분과 엉덩이, 등, 어깨 전체적으로 힘이 들어올 것입니다. 코어에 힘을 주어 허리가 꺾이지 않도록 하고 발바닥으로 바닥을 밀면서 골반을 천장 쪽으로 올려 엉덩이에 힘이 더 들어오는 것을 느껴주세요. 관절에 통증이 생기지 않도록 주의해 주세요. 일정 횟수 반복 후 시작자세로 돌아오세요.",https://resources.mora.kr/static/exercise/media/1506/MG/4d5c3dfac56885300fd311d19bf8df6d.mp4
거꾸로 플랭크 엉덩이 들기 2,근력 /닫힌사슬운동 /능동,어려움,고관절&골반|복부|전신|허리|어깨,매트,근력,"앉은 자세에서 양손으로 바닥을 짚어 몸을 지지하고 무릎을 굽혀 놓은 자세에서 엉덩이를 들었다 내려주세요. 허벅지 뒷부분과 엉덩이, 등, 어깨 전체적으로 힘이 들어올 것입니다. 코어에 힘을 주어 허리가 꺾이지 않도록 하고 발바닥으로 바닥을 밀면서 골반을 천장 쪽으로 올려 엉덩이에 힘이 더 들어오는 것을 느껴주세요. 관절에 통증이 생기지 않도록 주의해 주세요. 일정 횟수 반복 후 시작자세로 돌아오세요.",https://resources.mora.kr/static/exercise/media/1504/MG/ca2d3ea5e67ad5d67bb6304f56410c19.mp4
거꾸로 플랭크 한 발 들기,근력 /닫힌사슬운동 /능동,어려움,고관절&골반|복부|전신|허리|어깨,매트,근력,"천장을 향해 누워 양쪽 아래팔로 몸을 지지하고 무릎을 굽혀 놓은 자세에서 엉덩이를 든 다음 한 발을 앞으로 펴 주세요. 지지하고 있는 허벅지 뒷부분과 엉덩이, 등, 어깨 전체적으로 힘이 들어올 것입니다. 코어에 힘을 주어 허리가 꺾이지 않도록 하고 발바닥으로 바닥을 밀면서 골반을 천장 쪽으로 올려 엉덩이에 힘이 더 들어오는 것을 느껴주세요. 관절에 통증이 생기지 않도록 주의해 주세요. 일정 시간 유지 후 시작자세로 돌아오세요.",https://resources.mora.kr/static/exercise/media/1507/MG/1b11a2a8a7d165d331c4c5456d3b2690.mp4
거꾸로 플랭크 한 발 들어 엉덩이 들기,근력 /닫힌사슬운동 /능동,어려움,고관절&골반|복부|전신|허리|어깨,매트,근력,"천장을 향해 누워 양쪽 아래팔로 몸을 지지하고 무릎을 굽힌 자세에서 엉덩이를 들고 한 다리를 편 다음 엉덩이를 아래로 내렸다 올려주세요. 지지하고 있는 허벅지 뒷부분과 엉덩이, 등, 어깨 전체적으로 힘이 들어올 것입니다. 코어에 힘을 주어 허리가 꺾이지 않도록 하고 발바닥으로 바닥을 밀면서 골반을 천장 쪽으로 올려 엉덩이에 힘이 더 들어오는 것을 느껴주세요. 관절에 통증이 생기지 않도록 주의해 주세요. 일정 횟수 반복 후 시작자세로 돌아오세요.",https://resources.mora.kr/static/exercise/media/1508/MG/13784753b071c88a4b3d41bd00d70844.mp4
경사 보조 가슴 위에 손 두고 윗몸일으키기,근력 /열린사슬운동 /능동,쉬움,복부,침대,근력,두 발을 앞으로 두고 등받이가 기울어진 곳에 몸을 기대 주세요. 양손을 가슴 위에 교차해 둔 다음다음 등받이에서 등을 떼주세요. 윗배에 힘이 들어오는 것을 느껴주세요. 골반이 움직이거나 턱이 천장으로 들리지 않도록 해주세요. 편한 호흡을 유지해 주세요. 허리에 통증이 생기지 않아야 합니다. 일정 시간 유지 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/2427/MG/00b9edb5083575bec497b281b125ba03.mp4
